customerid,trips,amount_of_yen,quantity,purchase_period,purchase_recency,purchase_amount_per_trips,regularity,trips_cancellation,trips_cat85099,trips_cat85123,trips_cat22423,trips_cat47566,trips_cat84879,mode_category,tgt
14543,13,1991.29,425,147,9,153.17615384615385,11.307692307692308,0,0,0,0,0,0,22207,0
14560,9,840.8300000000002,168,154,0,93.42555555555558,17.11111111111111,0,0,0,0,0,0,22776,0
14562,4,1131.4900000000002,497,121,21,282.87250000000006,30.25,0,0,0,0,3,0,85066,0
14572,4,1062.98,463,69,92,265.745,17.25,0,0,0,3,1,0,85071,0
14573,12,1190.620000000001,404,107,17,99.21833333333342,8.916666666666666,0,0,0,2,0,0,82581,1
14584,5,1029.2600000000002,379,29,7,205.85200000000003,5.8,0,0,2,0,0,2,22429,1
14587,9,1470.6299999999997,726,147,22,163.4033333333333,16.333333333333332,0,0,4,2,1,0,84997,1
14606,66,6346.759999999967,3514,176,1,96.1630303030298,2.6666666666666665,0,5,6,7,1,1,90214,0
14646,31,127365.22999999947,90704,164,2,4108.555806451596,5.290322580645161,0,11,1,4,0,2,85099,0
14659,6,1328.2600000000004,640,128,25,221.37666666666675,21.333333333333332,0,1,0,2,0,3,84997,0
14665,4,713.8600000000001,266,14,134,178.46500000000003,3.5,0,0,1,0,0,0,84459,0
14667,11,2802.730000000001,1405,154,9,254.79363636363644,14,0,4,0,0,0,5,85040,0
14676,5,1143.5200000000002,1078,94,45,228.70400000000004,18.8,0,0,0,0,0,0,85152,0
14680,11,12517.000000000004,6188,158,16,1137.9090909090912,14.363636363636363,0,5,0,0,6,0,84997,0
14688,13,2640.9500000000003,1770,161,2,203.15000000000003,12.384615384615385,0,1,0,0,0,0,23182,0
14692,4,470.8,219,87,73,117.7,21.75,0,0,0,0,0,0,22931,0
14696,4,870.04,464,142,21,217.51,35.5,0,0,0,0,0,0,78033,0
14701,10,1895.1300000000012,650,143,10,189.51300000000012,14.3,0,1,1,0,0,0,84459,1
14702,6,1068.9500000000005,289,175,0,178.15833333333342,29.166666666666668,0,0,0,0,0,0,85049,0
14709,5,1619.0400000000002,810,128,25,323.80800000000005,25.6,0,4,0,0,0,0,85099,0
14711,8,1885.250000000001,674,100,0,235.6562500000001,12.5,0,0,0,0,5,2,84836,0
14713,6,1021.6899999999994,654,136,24,170.28166666666655,22.666666666666668,0,2,2,0,0,0,20727,0
14730,4,767.0699999999998,442,97,16,191.76749999999996,24.25,0,0,0,1,2,0,47590,0
14732,4,1283.2,740,152,24,320.8,38,0,0,1,0,0,0,22993,0
14733,7,3894.619999999999,1492,161,8,556.3742857142855,23,0,0,2,0,4,0,47566,0
14735,19,2376.21,821,146,14,125.06368421052632,7.684210526315789,0,0,0,0,0,0,22730,0
14738,4,525.69,219,117,37,131.4225,29.25,0,0,1,0,0,0,21181,0
14740,4,1423.2099999999998,729,92,29,355.80249999999995,23,0,0,1,1,0,0,46000,1
14744,6,691.5799999999999,369,38,119,115.26333333333332,6.333333333333333,0,0,0,0,0,0,22384,1
14755,6,2194.379999999999,910,158,14,365.72999999999985,26.333333333333332,0,1,2,3,3,3,22771,0
14776,7,1456.6800000000007,1788,141,9,208.09714285714296,20.142857142857142,0,0,0,0,0,0,21703,0
14794,5,645.64,309,130,41,129.128,26,0,1,0,0,0,0,22849,1
14796,13,2912.800000000002,2028,147,10,224.06153846153862,11.307692307692308,0,0,0,4,0,0,84596,0
14800,8,2074.9599999999996,1598,143,29,259.36999999999995,17.875,0,0,0,0,0,0,22752,0
14808,4,867.4100000000001,497,6,4,216.85250000000002,1.5,0,0,0,0,0,0,84931,0
14810,7,1098.2600000000004,527,136,36,156.8942857142858,19.428571428571427,0,4,2,0,0,0,85099,0
14825,4,810.8900000000004,354,128,7,202.7225000000001,32,0,0,1,0,1,1,22967,0
14842,4,1381.23,630,123,23,345.3075,30.75,0,0,0,1,0,1,22978,0
14849,9,2824.0599999999995,2058,142,14,313.7844444444444,15.777777777777779,0,0,0,3,0,4,21975,0
14854,6,1923.2400000000005,1288,110,2,320.5400000000001,18.333333333333332,0,0,0,0,3,0,47566,0
14878,5,761.0100000000002,492,118,11,152.20200000000006,23.6,0,0,0,0,1,0,22139,0
14895,7,4669.359999999999,1835,146,14,667.0514285714283,20.857142857142858,0,0,3,2,2,0,85123,0
14903,7,1740.0300000000016,880,88,28,248.5757142857145,12.571428571428571,0,1,1,1,1,2,84947,0
14911,78,37381.830000000016,20299,176,0,479.25423076923096,2.2564102564102564,33,6,11,12,4,4,C2,0
14944,5,1832.0300000000004,1001,110,24,366.40600000000006,22,0,0,3,0,0,1,85123,0
14952,7,2822.1499999999987,1305,98,44,403.16428571428554,14,0,1,0,0,0,0,84997,0
14961,6,1958.8600000000001,1114,119,56,326.4766666666667,19.833333333333332,0,0,0,2,0,0,84949,0
14976,4,425.25999999999976,111,130,34,106.31499999999994,32.5,0,0,0,0,0,0,21908,0
14978,4,1537.2800000000013,417,94,73,384.32000000000033,23.5,0,0,0,1,2,0,72807,0
15005,18,2902.8399999999992,1942,171,0,161.26888888888885,9.5,0,7,7,1,7,0,47566,0
15021,4,694.2899999999998,353,86,13,173.57249999999996,21.5,0,0,2,0,0,0,84596,0
15023,4,3214.96,1663,156,7,803.74,39,0,4,2,1,1,2,85099,0
15027,5,952.7699999999996,521,70,6,190.55399999999992,14,0,0,0,0,1,0,22605,1
15034,5,1812.680000000001,874,105,70,362.5360000000002,21,0,0,1,0,0,0,84849,0
15039,33,14103.609999999993,6803,176,0,427.38212121212104,5.333333333333333,0,20,1,7,9,0,85099,0
15044,10,2862.7700000000013,837,156,14,286.27700000000016,15.6,0,0,3,7,1,0,22423,0
15046,10,2770.4999999999995,1657,171,4,277.04999999999995,17.1,0,0,2,0,0,7,84879,0
15058,6,1011.3100000000005,484,129,21,168.55166666666676,21.5,0,2,0,0,0,0,21034,0
15059,7,721.0299999999999,301,164,8,103.0042857142857,23.428571428571427,0,0,0,0,0,0,82582,0
15061,26,12023.380000000001,7345,167,7,462.4376923076924,6.423076923076923,0,0,0,5,0,0,22558,0
15065,5,2836.600000000001,1153,126,2,567.3200000000002,25.2,0,0,0,1,0,0,22962,1
15078,14,3270.559999999998,1734,128,28,233.61142857142843,9.142857142857142,0,6,0,4,0,0,85099,0
15079,4,751.7099999999998,343,102,50,187.92749999999995,25.5,0,0,1,0,0,0,85123,1
15093,5,2765.2199999999993,2048,139,37,553.0439999999999,27.8,0,0,0,2,0,2,22030,0
15098,5,649.5,60,0,20,129.9,0,0,0,0,0,0,0,22502,1
15107,5,133.95,99,22,149,26.79,4.4,0,0,1,0,0,0,22168,1
15108,4,614.95,162,44,20,153.7375,11,0,0,0,0,0,0,POST,0
15114,4,1027.2500000000005,1003,119,20,256.8125000000001,29.75,0,0,0,0,0,0,22927,0
15122,4,911.06,486,101,34,227.765,25.25,0,2,0,0,1,0,22962,0
15125,12,8278.24,4479,99,9,689.8533333333334,8.25,0,1,0,2,0,1,23167,0
15128,6,806.6400000000001,728,55,2,134.44000000000003,9.166666666666666,0,0,0,0,0,0,84536,0
15129,7,1801.3300000000006,1187,115,14,257.3328571428572,16.428571428571427,0,0,0,0,0,0,22720,0
15140,4,1123.2,896,73,29,280.8,18.25,0,0,0,0,0,0,84970,0
15144,6,1644.6200000000001,774,94,55,274.10333333333335,15.666666666666666,0,0,0,0,0,0,85116,0
15159,15,4257.91,1944,158,9,283.86066666666665,10.533333333333333,0,0,0,1,0,0,85132,0
15189,30,5910.739999999997,2150,169,1,197.02466666666658,5.633333333333334,0,0,0,13,4,0,22423,0
15194,11,2472.8200000000006,1687,166,8,224.80181818181825,15.090909090909092,0,0,0,3,1,2,22156,0
15201,4,590.4899999999999,647,47,38,147.62249999999997,11.75,0,1,0,0,0,0,82580,0
15218,4,2447.5999999999995,1364,140,16,611.8999999999999,35,0,4,1,0,1,0,85099,0
15220,5,926.7700000000002,845,111,7,185.35400000000004,22.2,0,0,1,0,0,0,22109,0
15235,9,1552.8700000000008,932,120,55,172.5411111111112,13.333333333333334,0,0,1,0,1,0,22303,1
15240,4,1029.8300000000002,750,120,29,257.45750000000004,30,0,0,2,1,0,0,22083,0
15241,5,1047.51,973,99,21,209.502,19.8,0,0,0,0,0,0,22752,0
15249,6,2832.9199999999996,1432,59,34,472.15333333333325,9.833333333333334,0,0,0,0,3,1,37370,0
15251,4,5439.25,3348,63,16,1359.8125,15.75,0,0,0,0,0,0,23167,0
15270,5,1272.3499999999997,659,71,76,254.46999999999994,14.2,0,0,3,0,0,0,75049,0
15271,6,944.6999999999999,438,174,0,157.45,29,0,0,3,0,0,0,85123,0
15281,9,1835.2099999999998,987,146,24,203.9122222222222,16.22222222222222,0,0,1,1,3,0,84968,0
15290,9,1766.32,928,127,41,196.25777777777776,14.11111111111111,0,0,0,1,0,1,22908,0
15291,14,2585.5800000000004,979,159,10,184.68428571428575,11.357142857142858,0,0,0,0,0,2,82486,0
15296,5,2063.689999999999,1137,150,13,412.73799999999983,30,0,0,1,1,1,0,84509,0
15298,4,1379.6000000000001,1039,150,25,344.90000000000003,37.5,0,1,0,0,1,0,22468,0
15299,5,528.08,474,137,2,105.61600000000001,27.4,0,0,0,0,0,0,M,0
15301,6,2139.74,1050,95,10,356.6233333333333,15.833333333333334,0,0,0,0,1,0,20725,0
15304,7,354.65000000000003,49,118,1,50.66428571428572,16.857142857142858,0,0,0,5,0,0,22423,0
15311,53,33795.77000000011,22398,175,1,637.6560377358512,3.30188679245283,0,21,0,0,0,0,84997,0
15356,4,1242.0300000000007,732,121,13,310.50750000000016,30.25,0,0,2,0,3,2,47566,0
15358,15,4055.449999999998,3491,159,16,270.3633333333332,10.6,0,0,0,3,0,0,85049,0
15373,6,780.4000000000001,220,165,11,130.0666666666667,27.5,0,0,0,3,0,0,21216,0
15379,7,2140.43,1525,170,7,305.7757142857143,24.285714285714285,0,2,4,2,0,3,85123,1
15382,6,2099.270000000001,1619,116,17,349.8783333333335,19.333333333333332,0,0,0,0,0,0,23168,0
15410,5,2361.9300000000007,791,89,10,472.38600000000014,17.8,0,0,0,2,3,0,84818,0
15465,16,4163.51,600,154,18,260.219375,9.625,0,0,0,15,0,0,22423,0
15491,5,2400.7099999999996,1193,56,17,480.14199999999994,11.2,0,0,0,1,3,0,47566,0
15498,17,6975.639999999999,3511,169,6,410.33176470588234,9.941176470588236,0,3,1,3,2,0,85099,0
15502,4,1657.6200000000001,1552,111,2,414.40500000000003,27.75,0,0,1,1,2,0,84970,0
15508,6,1000.2700000000001,440,46,27,166.71166666666667,7.666666666666667,0,2,2,3,0,0,22423,1
15513,12,5628.659999999999,2118,154,13,469.0549999999999,12.833333333333334,0,0,1,2,1,1,22699,0
15518,6,972.92,696,117,53,162.15333333333334,19.5,0,0,0,0,1,0,22659,0
15521,5,1542.7800000000007,900,42,50,308.55600000000015,8.4,0,0,0,0,0,0,84997,0
15529,5,1610.7500000000014,1413,112,48,322.15000000000026,22.4,0,3,0,0,2,0,84086,0
15535,5,485.39999999999975,131,154,11,97.07999999999996,30.8,0,0,0,2,1,0,85036,1
15544,4,1722.9499999999982,1516,128,11,430.73749999999956,32,0,0,0,0,0,0,84997,0
15547,6,1637.1600000000014,1046,121,32,272.86000000000024,20.166666666666668,0,1,3,0,1,0,72351,0
15555,6,1106.4500000000005,919,60,13,184.40833333333342,10,0,2,2,1,2,2,85202,0
15570,6,1405.2300000000007,488,123,44,234.20500000000013,20.5,0,0,1,1,1,1,22776,0
15581,5,327.8799999999998,119,103,10,65.57599999999996,20.6,0,0,0,0,2,1,47599,0
15589,4,456.58,242,58,90,114.145,14.5,0,0,1,0,1,0,22892,1
15596,7,924.1200000000002,378,127,37,132.0171428571429,18.142857142857142,0,0,0,0,0,0,22502,0
15601,10,3879.7500000000014,2898,166,8,387.97500000000014,16.6,0,0,5,1,0,0,85123,0
15602,6,254.66000000000003,150,131,38,42.443333333333335,21.833333333333332,0,0,0,3,0,0,22178,0
15606,7,2136.16,644,153,8,305.1657142857143,21.857142857142858,0,0,0,0,0,0,22726,0
15611,7,530.77,103,171,1,75.82428571428571,24.428571428571427,0,0,0,4,0,0,22423,0
15615,14,4788.79,2619,167,0,342.05642857142857,11.928571428571429,0,6,1,1,3,1,85099,0
15622,10,2501.000000000002,1210,91,28,250.1000000000002,9.1,0,3,0,1,1,0,85099,0
15625,4,929.0200000000001,706,58,15,232.25500000000002,14.5,0,0,0,0,0,0,21868,0
15632,5,1540.7600000000007,830,92,20,308.15200000000016,18.4,0,0,0,0,0,1,22690,0
15640,6,3990.8299999999986,2030,147,23,665.1383333333331,24.5,0,2,3,3,0,1,22084,0
15643,6,647.4000000000001,242,103,17,107.90000000000002,17.166666666666668,0,0,0,2,1,0,23169,1
15644,4,812.9999999999993,557,94,4,203.24999999999983,23.5,0,0,0,0,0,0,85032,1
15648,4,599.9,213,62,42,149.975,15.5,0,0,0,0,0,0,84406,1
15658,7,652.6999999999999,168,131,28,93.24285714285713,18.714285714285715,0,0,0,5,1,0,22423,1
15660,5,484.62,310,86,34,96.924,17.2,0,1,0,1,0,0,84946,0
15671,5,1016.1300000000002,559,28,80,203.22600000000006,5.6,0,0,0,0,0,0,22168,0
15674,7,677.08,426,41,51,96.72571428571429,5.857142857142857,0,0,4,4,4,0,84279,0
15687,7,1667.8499999999997,655,145,23,238.26428571428568,20.714285714285715,0,1,0,0,1,0,22854,1
15694,7,2402.65,535,154,14,343.2357142857143,22,0,0,0,2,2,0,35004,1
15696,9,1550.8500000000004,713,113,51,172.31666666666672,12.555555555555555,0,0,1,0,2,2,47566,0
15708,5,1709.7200000000007,643,116,56,341.94400000000013,23.2,0,0,4,1,0,0,21916,0
15719,8,2773.119999999998,1464,158,16,346.63999999999976,19.75,0,7,6,0,5,3,85099,0
15737,7,657.1300000000002,361,56,24,93.87571428571432,8,0,0,0,0,1,0,22171,0
15738,11,2578.7099999999987,1495,142,21,234.42818181818168,12.909090909090908,0,0,0,0,3,0,47590,0
15749,4,21535.9,9014,97,73,5383.975,24.25,0,0,3,0,1,0,85123,1
15769,13,30673.920000000002,16576,166,10,2359.5323076923078,12.76923076923077,0,6,0,0,0,0,85099,0
15785,4,1318.6200000000003,752,104,28,329.6550000000001,26,0,0,0,2,1,0,84755,0
15796,6,1204.9700000000003,411,115,24,200.82833333333338,19.166666666666668,0,0,2,2,0,0,22698,0
15805,11,2580.499999999999,1620,125,1,234.590909090909,11.363636363636363,0,3,0,0,3,0,22666,0
15809,4,399.2099999999999,251,118,22,99.80249999999998,29.5,0,0,0,1,0,0,22781,1
15811,4,814.64,332,93,42,203.66,23.25,0,0,0,1,2,0,85049,0
15827,13,752.83,320,137,17,57.910000000000004,10.538461538461538,0,0,0,4,0,0,22720,0
15834,4,1666.8200000000004,680,111,3,416.7050000000001,27.75,0,0,0,0,0,0,84692,0
15838,9,8610.060000000001,4578,145,3,956.6733333333335,16.11111111111111,0,3,0,0,0,0,85099,0
15845,5,1912.3400000000004,1018,157,17,382.4680000000001,31.4,0,1,0,0,1,2,84978,0
15854,7,1807.5900000000001,590,156,10,258.2271428571429,22.285714285714285,0,0,1,0,0,0,15056,0
15855,4,474.6899999999998,319,79,21,118.67249999999996,19.75,0,0,0,0,2,0,84569,0
15856,7,4343.2499999999945,3227,119,20,620.464285714285,17,0,0,6,0,0,0,84596,0
15867,7,1500.5500000000006,796,149,21,214.3642857142858,21.285714285714285,0,0,0,2,1,3,21955,0
15874,7,2181.1500000000015,1058,106,15,311.5928571428573,15.142857142857142,0,0,1,0,1,0,21626,1
15881,5,323.78999999999996,144,0,150,64.758,0,0,0,0,0,0,0,22649,1
15906,4,637.2600000000003,219,35,57,159.31500000000008,8.75,0,0,0,1,0,0,85152,0
15910,4,550.6100000000001,431,109,45,137.65250000000003,27.25,0,0,0,0,0,0,22998,0
15932,8,1549.3500000000001,1157,126,0,193.66875000000002,15.75,0,0,1,0,2,0,37342,0
15938,4,335.3,192,122,39,83.825,30.5,0,0,1,0,0,0,22178,0
15939,11,5207.12,4107,151,18,473.37454545454545,13.727272727272727,0,0,0,0,0,0,84970,0
15953,4,597.3999999999999,348,120,49,149.34999999999997,30,0,0,3,1,0,2,85231,1
15971,4,1086.15,527,68,80,271.5375,17,0,3,0,0,0,0,85099,0
15974,5,2042.2500000000002,1294,104,22,408.45000000000005,20.8,0,0,0,1,0,2,84970,0
15981,5,2061,1100,142,6,412.2,28.4,0,0,0,0,0,0,21977,0
15984,4,659.3799999999998,303,104,71,164.84499999999994,26,0,0,3,0,0,0,85123,0
15996,4,517.1499999999999,216,119,3,129.28749999999997,29.75,0,0,0,0,0,0,84631,0
16011,6,963.6099999999999,670,134,14,160.60166666666666,22.333333333333332,0,0,0,0,0,0,21669,0
16013,24,11080.869999999999,3711,164,10,461.7029166666666,6.833333333333333,0,0,5,4,6,0,47566,0
16019,5,2270.4,824,104,70,454.08000000000004,20.8,0,0,0,3,1,2,15056,0
16027,5,542.87,663,126,14,108.574,25.2,0,0,0,0,0,0,21326,0
16029,35,10745.389999999985,10019,175,2,307.01114285714243,5,0,11,0,0,0,0,85099,0
16033,15,3522.2500000000005,1292,172,3,234.8166666666667,11.466666666666667,0,0,2,0,3,2,21534,0
16057,5,974.2400000000001,351,85,37,194.848,17,0,1,1,0,0,0,22776,0
16115,4,658.6600000000001,392,112,18,164.66500000000002,28,0,1,0,0,0,0,85049,0
16133,17,6697.620000000003,3833,139,17,393.97764705882366,8.176470588235293,0,0,0,1,3,0,22139,0
16145,7,1324.3300000000002,1016,167,9,189.19000000000003,23.857142857142858,0,0,2,0,2,0,85170,0
16156,4,1044.57,460,104,44,261.1425,26,0,0,0,0,1,0,22720,0
16161,10,1963.049999999999,983,161,7,196.3049999999999,16.1,0,5,0,0,0,0,85099,0
16168,9,1119.51,551,132,24,124.39,14.666666666666666,0,0,1,1,0,0,23301,0
16170,4,940.2399999999994,662,72,13,235.05999999999986,18,0,0,0,0,0,0,23084,0
16180,5,4327.28,2495,81,8,865.4559999999999,16.2,0,3,0,2,1,0,85099,0
16186,5,1024.67,900,70,9,204.93400000000003,14,0,0,0,0,0,3,20971,0
16187,8,3475.619999999999,2357,114,7,434.4524999999999,14.25,0,2,0,2,4,3,47566,0
16191,13,1923.4799999999998,836,74,100,147.95999999999998,5.6923076923076925,0,0,0,0,1,0,22701,0
16210,5,3592.57,1224,109,51,718.514,21.8,0,0,2,0,0,0,21137,0
16217,4,259.39000000000004,76,46,73,64.84750000000001,11.5,0,0,0,0,0,0,22427,1
16218,4,1227.65,767,69,23,306.9125,17.25,0,0,0,0,0,0,22646,0
16235,4,656.3899999999999,249,145,24,164.09749999999997,36.25,0,0,0,0,0,2,84879,0
16241,4,730.1300000000003,396,161,15,182.53250000000008,40.25,0,1,4,0,2,0,85183,0
16242,4,841.6400000000004,374,111,3,210.4100000000001,27.75,0,2,0,0,0,1,22720,1
16265,5,2010.4800000000005,931,85,56,402.0960000000001,17,1,0,0,0,1,0,85206,0
16266,4,488.8399999999999,186,30,14,122.20999999999998,7.5,0,0,0,0,0,0,21932,0
16297,4,275.40000000000003,180,56,50,68.85000000000001,14,0,0,0,0,0,0,90201,1
16306,8,534.17,441,123,51,66.77125,15.375,0,0,0,0,0,0,22637,1
16316,7,1836.37,921,176,0,262.3385714285714,25.142857142857142,0,2,0,1,3,0,47566,0
16321,4,155.70000000000002,42,18,143,38.925000000000004,4.5,0,0,1,0,0,0,22087,0
16326,5,918.5800000000002,187,161,11,183.71600000000004,32.2,0,0,0,0,1,0,48188,0
16333,16,13087.2,22092,117,30,817.95,7.3125,0,0,0,0,0,0,84077,0
16353,7,1645.2800000000004,674,120,55,235.04000000000005,17.142857142857142,0,0,0,0,0,0,79321,0
16356,4,210.32000000000002,92,79,35,52.580000000000005,19.75,0,0,0,0,0,0,82582,1
16359,9,956.28,767,155,14,106.25333333333333,17.22222222222222,0,0,0,0,0,1,84836,0
16393,4,681.2899999999997,426,109,23,170.32249999999993,27.25,0,4,0,0,0,0,85099,0
16394,4,921.2800000000007,1382,118,9,230.32000000000016,29.5,0,0,0,0,0,0,23004,0
16401,8,1966.54,1832,165,0,245.8175,20.625,0,0,0,0,0,0,22197,0
16407,5,794.7399999999999,387,118,32,158.94799999999998,23.6,0,0,2,0,2,1,47566,0
16419,5,737.94,288,143,6,147.58800000000002,28.6,0,0,0,2,1,2,84947,0
16422,43,19650.050000000017,18790,172,2,456.9779069767446,4,0,0,0,0,12,0,22090,0
16458,7,1333.7999999999997,860,134,8,190.54285714285712,19.142857142857142,0,6,4,0,0,0,85099,0
16473,4,314.86,195,171,2,78.715,42.75,0,0,0,0,0,0,22791,1
16497,5,1550.7,789,130,41,310.14,26,0,0,0,1,1,0,23146,1
16523,10,3197.7000000000007,1459,138,15,319.7700000000001,13.8,0,6,0,0,0,0,85099,0
16525,17,7183.289999999997,4061,167,1,422.54647058823514,9.823529411764707,0,1,3,0,2,0,22169,0
16550,4,1211.3699999999997,905,71,2,302.8424999999999,17.75,0,0,0,1,2,0,22197,0
16553,11,4059.3800000000006,3528,141,1,369.0345454545455,12.818181818181818,0,0,0,0,0,2,22502,1
16554,5,221.01,101,127,42,44.202,25.4,0,0,0,1,1,0,82482,1
16556,4,1773.39,956,132,0,443.3475,33,0,0,1,1,4,0,47566,0
16558,11,2834.5699999999997,2040,143,14,257.6881818181818,13,0,4,0,3,7,0,22960,0
16566,4,463.22999999999996,215,122,8,115.80749999999999,30.5,0,0,0,0,0,0,21326,1
16570,6,1826.05,1166,149,0,304.34166666666664,24.833333333333332,0,0,0,0,0,2,84970,0
16592,10,1497.0800000000004,1145,104,21,149.70800000000003,10.4,0,0,0,0,0,0,22464,0
16607,5,1062.2400000000002,905,95,45,212.44800000000004,19,0,0,0,0,0,0,23233,0
16618,5,1424.3400000000001,770,118,41,284.86800000000005,23.6,0,0,0,2,0,0,22847,1
16626,5,1704.7899999999997,826,97,6,340.95799999999997,19.4,0,1,0,0,0,0,21417,0
16638,5,1136.3899999999996,614,75,91,227.27799999999993,15,0,0,0,1,0,0,90125,0
16652,5,3007.2199999999993,1430,60,50,601.4439999999998,12,0,0,0,5,0,0,22423,0
16656,7,3085.5699999999997,3112,146,30,440.79571428571427,20.857142857142858,0,0,0,0,0,0,84508,0
16670,9,2090.4999999999995,1383,167,3,232.27777777777771,18.555555555555557,0,2,2,0,2,0,85099,0
16672,15,4968.6900000000005,1835,102,2,331.24600000000004,6.8,0,0,0,1,0,0,22467,0
16676,4,1065.0999999999997,407,132,42,266.2749999999999,33,0,0,0,1,0,0,22636,1
16678,6,1264.15,799,84,35,210.6916666666667,14,0,0,0,0,1,0,84978,0
16684,12,21201.059999999998,16416,137,10,1766.7549999999999,11.416666666666666,0,1,0,3,0,0,72351,0
16686,4,850.1899999999999,706,111,32,212.54749999999999,27.75,0,0,0,0,0,0,84997,0
16700,10,2981.910000000001,2315,144,10,298.19100000000014,14.4,0,4,1,0,0,1,85099,0
16701,9,2026.5200000000002,2028,167,2,225.16888888888892,18.555555555555557,0,0,0,0,0,0,79163,0
16705,10,5463.06,2276,138,37,546.306,13.8,0,0,3,0,2,0,22467,0
16709,4,1984.5900000000001,521,82,37,496.14750000000004,20.5,0,0,0,2,0,2,84879,0
16710,4,1112.669999999999,850,69,45,278.16749999999973,17.25,0,0,0,1,0,0,22999,0
16712,5,1598.150000000001,673,97,16,319.6300000000002,19.4,0,0,0,0,1,0,23049,0
16713,9,2342.2099999999996,1205,131,10,260.2455555555555,14.555555555555555,0,0,0,5,0,0,22423,0
16714,4,911.5299999999997,608,98,56,227.88249999999994,24.5,0,0,1,0,0,1,22437,1
16719,4,531,404,102,73,132.75,25.5,0,0,2,0,0,0,22467,0
16722,5,1452.2900000000002,1529,104,21,290.458,20.8,0,0,0,0,0,0,21495,0
16725,5,447.8699999999997,158,37,140,89.57399999999994,7.4,0,1,0,0,0,0,21531,1
16729,14,3487.289999999998,2615,64,14,249.09214285714273,4.571428571428571,0,0,5,0,4,7,22659,0
16745,13,4640.580000000001,4483,149,0,356.96769230769235,11.461538461538462,0,5,0,0,0,0,21977,0
16746,7,2577.5400000000022,1324,133,32,368.2200000000003,19,0,3,0,2,0,0,15056,0
16767,4,3048.2399999999993,2370,133,20,762.0599999999998,33.25,0,0,0,1,0,0,23182,0
16775,4,574.2499999999999,125,167,1,143.56249999999997,41.75,0,0,1,0,2,0,82486,0
16779,13,4297.389999999999,2568,173,1,330.5684615384615,13.307692307692308,0,5,0,0,0,0,85099,0
16782,7,763.1600000000002,256,115,42,109.02285714285718,16.428571428571427,0,1,4,0,0,0,85123,0
16791,4,576.1499999999999,268,118,51,144.03749999999997,29.5,0,0,2,3,1,2,72802,0
16801,5,867.8299999999999,313,110,1,173.56599999999997,22,0,0,0,0,0,0,85036,1
16814,13,4188.219999999998,1718,162,14,322.1707692307691,12.461538461538462,0,0,0,0,0,4,22771,0
16817,8,696.8300000000005,326,98,13,87.10375000000006,12.25,0,0,0,0,0,0,85194,1
16818,6,1161.5700000000006,665,22,21,193.5950000000001,3.6666666666666665,0,0,0,0,0,0,85039,0
16837,9,1811.4900000000007,706,53,30,201.27666666666676,5.888888888888889,0,0,0,4,2,1,22501,0
16839,18,7125.930000000003,3944,164,10,395.88500000000016,9.11111111111111,0,5,0,3,2,0,85099,0
16841,4,1243.2400000000002,1204,117,8,310.81000000000006,29.25,0,0,0,0,0,0,84596,0
16843,9,5729.17,4161,150,14,636.5744444444445,16.666666666666668,0,2,0,0,0,0,84997,0
16871,5,1986.9700000000007,858,72,36,397.3940000000001,14.4,0,0,1,1,0,0,72807,0
16873,4,1059.76,552,54,29,264.94,13.5,0,0,0,0,0,0,82482,0
16875,5,758.2900000000001,376,98,79,151.65800000000002,19.6,0,1,0,0,0,0,84970,0
16904,7,1732.940000000004,812,162,0,247.5628571428577,23.142857142857142,0,2,2,1,1,0,82613,0
16912,7,1131.45,463,123,38,161.6357142857143,17.571428571428573,0,0,0,1,1,0,84988,0
16919,8,1840.7000000000028,1029,70,16,230.08750000000035,8.75,0,0,0,0,2,0,84596,0
16923,17,2886.189999999999,1343,161,11,169.77588235294112,9.470588235294118,0,0,2,2,0,0,22698,0
16928,9,1275.8600000000004,932,158,2,141.76222222222225,17.555555555555557,0,0,0,1,0,0,22771,0
16931,8,1722.6800000000012,1241,146,11,215.33500000000015,18.25,0,0,5,0,1,1,85040,0
16938,4,1577.5000000000005,810,129,17,394.3750000000001,32.25,0,0,2,0,1,0,84997,1
16942,6,1051.4199999999998,404,51,14,175.23666666666665,8.5,0,3,1,0,0,2,85099,0
16945,9,1813.9099999999999,1272,140,2,201.54555555555555,15.555555555555555,0,5,0,0,0,0,85099,0
16949,5,768.75,385,137,17,153.75,27.4,0,0,0,0,1,0,22656,1
16966,6,1480.5600000000002,1318,76,1,246.76000000000002,12.666666666666666,0,0,0,0,0,0,21890,1
16983,4,710.6799999999997,414,139,18,177.66999999999993,34.75,0,0,0,0,0,0,22570,0
16985,6,1979.54,712,101,49,329.92333333333335,16.833333333333332,0,0,3,2,1,3,85123,0
16998,4,279.6,72,104,37,69.9,26,0,0,0,0,0,0,22371,0
17001,5,1812.4299999999996,938,145,11,362.48599999999993,29,0,5,0,0,0,0,85099,0
17017,13,3019.490000000001,2274,126,0,232.26846153846162,9.692307692307692,0,0,0,0,0,0,22197,0
17027,5,614.1800000000001,282,137,17,122.83600000000001,27.4,0,0,0,0,0,1,85049,0
17048,4,739.3200000000002,414,53,115,184.83000000000004,13.25,0,0,1,0,0,0,85118,0
17050,5,2660.5900000000015,1353,112,25,532.1180000000003,22.4,0,0,0,0,4,0,85049,0
17061,9,3806.029999999999,1176,63,6,422.8922222222221,7,0,0,0,4,4,0,47566,0
